run_id,policy_size,policy,exitCode,execTime,gasCost,gasPrice,etherCost,gasLimit,timestamp
0,1,atributo0036,0,1121,625463,32203857762,1.9421989893957225e-05,124743880,1606258311865
1,1,atributo0068,0,1516,625463,32203857762,1.9421989893957225e-05,124743880,1606258321249
2,1,atributo0060,0,581,625463,32203857762,1.9421989893957225e-05,124743880,1606258329274
3,1,atributo0075,0,648,625463,32203857762,1.9421989893957225e-05,124743880,1606258335356
4,1,atributo0054,0,654,625463,32203857762,1.9421989893957225e-05,124743880,1606258343986
5,1,atributo0096,0,1318,625463,32203857762,1.9421989893957225e-05,124743880,1606258352037
6,1,atributo0081,0,618,625463,32203857762,1.9421989893957225e-05,124743880,1606258359346
7,1,atributo0071,0,683,625463,32203857762,1.9421989893957225e-05,124743880,1606258366644
8,1,atributo0010,0,579,625463,32203857762,1.9421989893957225e-05,124743880,1606258373255
9,1,atributo0027,0,880,625463,32203857762,1.9421989893957225e-05,124743880,1606258380405
10,1,atributo0020,0,699,625463,32203857762,1.9421989893957225e-05,124743880,1606258386933
11,1,atributo0032,0,583,625463,32203857762,1.9421989893957225e-05,124743880,1606258393892
12,1,atributo0030,0,676,625463,32203857762,1.9421989893957225e-05,124743880,1606258400480
13,1,atributo0049,0,596,625463,32203857762,1.9421989893957225e-05,124743880,1606258407947
14,1,atributo0029,0,706,625463,32203857762,1.9421989893957225e-05,124743880,1606258414087
15,1,atributo0011,0,699,625463,32203857762,1.9421989893957225e-05,124743880,1606258420550
16,1,atributo0015,0,582,625463,32203857762,1.9421989893957225e-05,124743880,1606258426831
17,1,atributo0011,0,705,625463,32203857762,1.9421989893957225e-05,124743880,1606258434250
18,1,atributo0051,0,562,625463,32203857762,1.9421989893957225e-05,124743880,1606258440775
19,1,atributo0022,0,654,625463,32203857762,1.9421989893957225e-05,124743880,1606258447700
20,1,atributo0010,0,947,625463,32203857762,1.9421989893957225e-05,124743880,1606258454337
21,1,atributo0098,0,664,625463,32203857762,1.9421989893957225e-05,124743880,1606258461417
22,1,atributo0060,0,453,625463,32203857762,1.9421989893957225e-05,124743880,1606258467728
23,1,atributo0074,0,664,625463,32203857762,1.9421989893957225e-05,124743880,1606258473471
24,1,atributo0039,0,562,625463,32203857762,1.9421989893957225e-05,124743880,1606258479786
25,1,atributo0004,0,704,625463,32203857762,1.9421989893957225e-05,124743880,1606258486384
26,1,atributo0070,0,607,625463,32203857762,1.9421989893957225e-05,124743880,1606258493151
27,1,atributo0008,0,637,625463,32203857762,1.9421989893957225e-05,124743880,1606258500239
28,1,atributo0072,0,659,625463,32203857762,1.9421989893957225e-05,124743880,1606258506943
29,1,atributo0077,0,518,625463,32203857762,1.9421989893957225e-05,124743880,1606258514505
30,1,atributo0042,0,649,625463,32203857762,1.9421989893957225e-05,124743880,1606258520611
31,1,atributo0051,0,609,625463,32203857762,1.9421989893957225e-05,124743880,1606258526461
32,1,atributo0056,0,633,625463,32203857762,1.9421989893957225e-05,124743880,1606258532468
33,1,atributo0087,0,637,625463,32203857762,1.9421989893957225e-05,124743880,1606258538833
34,1,atributo0032,0,641,625463,32203857762,1.9421989893957225e-05,124743880,1606258546657
35,1,atributo0052,0,628,625463,32203857762,1.9421989893957225e-05,124743880,1606258554007
36,1,atributo0052,0,1153,625463,32203857762,1.9421989893957225e-05,124743880,1606258560610
